Wine Name,Year,Winery,Rating,num_review,Price,Region,Country,Flavour group 1,Flavour group 2,Flavour group 3,Grapes 1,Grapes 2,Acidity,Sweetness,Intensity,Type
Lugana ,2022.0,Cantina di Castelnuovo del Garda,3.3,162,59.625,Lugana,Italy,citrus_fruit,tree_fruit,spices,arneis,pinot-blanc,3.0,2.0,4.0,white wine
Châteauneuf-du-Pape Rouge ,2011.0,Domaine Galévan,4.1,106,202.275,Châteauneuf-du-Pape,France,earth,oak,black_fruit,shiraz-syrah,mourvedre,3.0,1.0,5.0,red wine
Cabernet Sauvignon ,2013.0,Peter Franus,4.2,139,233.775,Napa Valley,United States,oak,black_fruit,non_oak,cabernet-sauvignon,0,3.5,1.0,5.0,red wine
La Grave Saint-Émilion Grand Cru ,2005.0,Château Haut-Brisson,4.0,1041,44.550000000000004,Saint-Émilion Grand Cru,France,oak,earth,black_fruit,cabernet-sauvignon,cabernet-franc,3.5,1.0,4.5,red wine
La Reala Nebbiolo d’Alba ,2019.0,BelColle,3.7,45,58.050000000000004,Nebbiolo d'Alba,Italy,oak,earth,red_fruit,nebbiolo,0,5.0,1.0,4.0,red wine
Île de Beauté Blanc ,2022.0,Domaine Vetriccie,3.9,50,34.65,Ile de Beaute,France,citrus_fruit,tree_fruit,earth,chardonnay,chenin-blanc,3.0,1.5,3.0,white wine
Côte de Brouilly ,2022.0,Cave du Château des Loges,3.4,97,50.4,Côte de Brouilly,France,red_fruit,spices,earth,gamay,0,5.0,1.0,1.0,red wine
Châteauneuf-du-Pape Rouge ,2022.0,Château Husson,4.1,325,125.77499999999999,Châteauneuf-du-Pape,France,black_fruit,red_fruit,earth,shiraz-syrah,mourvedre,3.0,1.0,5.0,red wine
Vacqueyras ,2010.0,Montvac,4.1,43,78.075,Vacqueyras,France,black_fruit,0,0,shiraz-syrah,grenache-noir,3.5,1.0,4.0,red wine
Felseneck Riesling Auslese ,2018.0,Schäfer-Fröhlich,4.2,86,112.5,Nahe,Germany,earth,tropical_fruit,tree_fruit,riesling,0,5.0,1.0,3.0,white wine
AAA ,2004.0,Marqués de Griñon,4.5,60,445.5,Dominio de Valdepusa,Spain,spices,earth,non_oak,grenache-noir,tempranillo,3.0,1.0,4.0,red wine
Pessac-Léognan ,2005.0,Château La Garde,4.0,329,112.5,Pessac-Léognan,France,oak,black_fruit,earth,cabernet-sauvignon,cabernet-franc,4.5,1.0,4.5,red wine
Mercurey Clos La Marche Monopole ,2017.0,Louis Max,4.1,94,157.5,Mercurey,France,red_fruit,earth,oak,pinot-noir,0,4.0,1.0,2.0,red wine
Coteaux du Layon ,2018.0,Domaine des Deux Arcs,4.2,101,67.5,Côteaux du Layon,France,tree_fruit,earth,tropical_fruit,chenin-blanc,0,4.5,4.0,3.5,dessert wine
Étoiles de Mondorion Saint-Émilion Grand Cru ,2006.0,Château Mondorion,3.9,631,90.0,Saint-Émilion Grand Cru,France,oak,earth,non_oak,cabernet-sauvignon,cabernet-franc,3.5,1.0,4.5,red wine
Hermitage Rouge ,2005.0,Domaine Belle,4.1,31,270.0,Hermitage,France,oak,earth,black_fruit,shiraz-syrah,0,3.5,1.0,5.0,red wine
Puligny-Montrachet ,2020.0,Sylvain Bzikot,4.3,31,270.0,Puligny-Montrachet,France,oak,microbio,tree_fruit,chardonnay,pinot-gris,3.0,1.0,4.0,white wine
'La Rose' Fronsac ,2022.0,Château Hauchat,3.8,498,65.25,Fronsac,France,oak,earth,non_oak,cabernet-sauvignon,cabernet-franc,3.0,1.0,4.0,red wine
Seigneur de Lauret Pic Saint Loup ,2021.0,Les Coteaux du Pic,3.8,105,60.75,Pic-Saint-Loup,France,black_fruit,red_fruit,spices,shiraz-syrah,grenache-noir,4.0,1.0,4.0,red wine
Saint-Estèphe ,1989.0,Château Lilian Ladouys,4.1,79,112.5,Saint-Estèphe,France,oak,black_fruit,earth,cabernet-sauvignon,cabernet-franc,4.5,1.0,4.5,red wine
Tinto ,2014.0,Van Zellers,3.7,516,90.0,Douro,Portugal,oak,black_fruit,spices,touriga-nacional,tinta-roriz,3.0,1.0,5.0,red wine
Cuvée Paul Côtes-du-Rhône ,2017.0,Château du Mourre du Tendre,3.9,66,62.550000000000004,Côtes-du-Rhône,France,black_fruit,spices,red_fruit,shiraz-syrah,grenache-noir,3.5,1.0,4.0,red wine
La Réserve Côtes du Rhône ,2017.0,Clos du Caillou,3.9,89,123.75,Côtes-du-Rhône,France,black_fruit,earth,red_fruit,shiraz-syrah,grenache-noir,3.5,1.0,4.0,red wine
Weisser Burgunder ,2019.0,Martin Waßmer,3.6,72,39.735,Baden,Germany,tree_fruit,citrus_fruit,earth,pinot-blanc,0,4.0,1.0,3.0,white wine
Moulis-en-Médoc ,2010.0,Château Ruat Petit Poujeaux,3.6,82,85.05,Moulis-en-Médoc,France,red_fruit,earth,oak,cabernet-sauvignon,cabernet-franc,4.0,1.0,4.5,red wine
Rasteau Rouge ,2019.0,Domaine des Escaravailles,3.9,30,112.05,Rasteau,France,black_fruit,red_fruit,spices,shiraz-syrah,grenache-noir,3.5,1.0,4.0,red wine
Les Gallimardes Châteauneuf-du-Pape Blanc ,2017.0,Domaine Giraud,4.1,318,175.5,Châteauneuf-du-Pape,France,earth,tree_fruit,oak,viognier,roussanne,3.0,1.0,3.5,white wine
Grand Reserve Chardonnay ,2020.0,Sutil,3.7,167,33.300000000000004,Colchagua Valley,Chile,oak,tree_fruit,black_fruit,chardonnay,0,1.0,3.0,4.0,white wine
Côtes-du-Rhône RS Rouge ,2020.0,LePlan-Vermeersch,3.6,419,40.050000000000004,Côtes-du-Rhône,France,red_fruit,oak,spices,shiraz-syrah,grenache-noir,3.5,1.0,4.0,red wine
Gran Maestro Appassimento Rosso ,2020.0,Maestro Italiano,4.0,1018,29.25,Puglia,Italy,oak,black_fruit,non_oak,primitivo,aglianico,2.0,2.0,5.0,red wine
Blanc ,2016.0,Mas de Daumas Gassac,4.2,347,189.0,Saint-Guilhem-le-Desert,France,tree_fruit,earth,oak,grenache-blanc,bourboulenc,2.5,1.0,3.0,white wine
